NATMON_IND,Indicator,LOCATION,Country,TIME,Time,Value,Flag Codes,Flags,country_of_origin
26533,"Asia: Students from India, both sexes (number)",UKR,Ukraine,2020,2020,14383.0,,,India
26454,"Africa: Students from Morocco, both sexes (number)",UKR,Ukraine,2020,2020,5721.0,,,Morocco
26522,"Asia: Students from Azerbaijan, both sexes (number)",UKR,Ukraine,2020,2020,4718.0,,,Azerbaijan
26565,"Asia: Students from Turkmenistan, both sexes (number)",UKR,Ukraine,2020,2020,4304.0,,,Turkmenistan
26458,"Africa: Students from Nigeria, both sexes (number)",UKR,Ukraine,2020,2020,3302.0,,,Nigeria
26436,"Africa: Students from Egypt, both sexes (number)",UKR,Ukraine,2020,2020,2849.0,,,Egypt
26528,"Asia: Students from China, both sexes (number)",UKR,Ukraine,2020,2020,2601.0,,,China
26564,"Asia: Students from Turkey, both sexes (number)",UKR,Ukraine,2020,2020,2284.0,,,Turkey
26537,"Asia: Students from Israel, both sexes (number)",UKR,Ukraine,2020,2020,2118.0,,,Israel
26539,"Asia: Students from Jordan, both sexes (number)",UKR,Ukraine,2020,2020,1526.0,,,Jordan
